Sun Apr  7 23:14:41 2019    /home/pi/ballance/Ballance/PythonCode/stats

         14936588 function calls (14873155 primitive calls) in 77.027 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16693    0.022    0.000    0.022    0.000 {method 'partition' of 'str' objects}
     4751    0.021    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
    39776    0.021    0.000    0.021    0.000 {method 'tobytes' of 'memoryview' objects}
  276/275    0.021    0.000    0.079    0.000 abc.py:132(__new__)
     1394    0.021    0.000    0.021    0.000 python_message.py:636(__init__)
     1732    0.021    0.000    0.064    0.000 fromnumeric.py:69(_wrapreduction)
    10733    0.021    0.000    0.027    0.000 <frozen importlib._bootstrap>:856(__exit__)
     3606    0.021    0.000    0.048    0.000 python_message.py:450(MakeRepeatedMessageDefault)
       93    0.021    0.000    0.043    0.000 inspect.py:278(getmembers)
     4919    0.020    0.000    0.046    0.000 abc.py:178(__instancecheck__)
     3606    0.020    0.000    0.027    0.000 containers.py:354(__init__)
    11007    0.020    0.000    0.020    0.000 python_message.py:1420(_SetListener)
      559    0.020    0.000    0.133    0.000 textwrap.py:414(dedent)
        3    0.019    0.006    0.019    0.006 {built-in method posix.read}
     5191    0.019    0.000    0.056    0.000 interpreter.py:85(_ensure_safe)
      215    0.019    0.000    0.019    0.000 {built-in method builtins.dir}
     5189    0.019    0.000    0.083    0.000 tensorflow_wrap_interpreter_wrapper.py:135(GetTensor)
     3840    0.019    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:1072(_path_importer_cache)
     9666    0.019    0.000    0.031    0.000 inspect.py:662(<genexpr>)
      900    0.019    0.000    0.032    0.000 copy.py:269(_reconstruct)
  3952/15    0.019    0.000   50.982    3.399 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
     1473    0.018    0.000    0.649    0.000 re.py:278(_compile)
     1826    0.018    0.000    0.023    0.000 tf_export.py:126(__init__)
    12245    0.018    0.000    0.018    0.000 containers.py:206(__getitem__)
     1394    0.018    0.000    0.091    0.000 python_message.py:608(_AddPropertiesForField)
    11966    0.017    0.000    0.017    0.000 {built-in method builtins.min}
       91    0.017    0.000    0.082    0.001 all_util.py:86(remove_undocumented)
      444    0.017    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:1055(_path_hooks)
     5571    0.017    0.000    0.017    0.000 _weakrefset.py:70(__contains__)
       86    0.017    0.000   19.706    0.229 __init__.py:15(<module>)
      669    0.017    0.000    0.018    0.000 version.py:343(_cmpkey)
        3    0.016    0.005    0.016    0.005 {built-in method _posixsubprocess.fork_exec}
     4709    0.016    0.000    0.066    0.000 decoder.py:251(DecodeField)
     3212    0.016    0.000    0.022    0.000 encoder.py:375(EncodeVarint)
      774    0.016    0.000    2.546    0.003 registry.py:45(register)
     2770    0.016    0.000    0.022    0.000 {method 'sort' of 'list' objects}
     4163    0.016    0.000    0.016    0.000 {built-in method builtins.round}
     3188    0.015    0.000    0.067    0.000 <frozen importlib._bootstrap>:170(__exit__)
     3045    0.015    0.000    1.064    0.000 <frozen importlib._bootstrap_external>:1141(find_spec)
     4856    0.015    0.000    0.146    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
     4747    0.015    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
     2373    0.015    0.000    0.015    0.000 {built-in method _imp._fix_co_filename}
2377/2374    0.015    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:390(_check_name_wrapper)
        7    0.015    0.002   33.219    4.746 inspect.py:1435(getouterframes)
     1141    0.015    0.000    0.271    0.000 op_def_library.py:275(add_op)
  474/300    0.014    0.000    0.033    0.000 abc.py:194(__subclasscheck__)
     1156    0.014    0.000    0.014    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      599    0.014    0.000    0.021    0.000 inspect.py:2665(__init__)
      599    0.014    0.000    0.095    0.000 inspect.py:2147(_signature_from_callable)
     2373    0.014    0.000    0.014    0.000 <frozen importlib._bootstrap>:35(_new_module)
     2374    0.014    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:834(path_stats)
       32    0.014    0.000    0.032    0.001 enum.py:88(__new__)
      230    0.013    0.000    0.051    0.000 tokenize.py:450(open)
     1958    0.013    0.000    0.758    0.000 posixpath.py:370(realpath)
     3212    0.013    0.000    0.038    0.000 encoder.py:409(_VarintBytes)
      446    0.013    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1186(__init__)
      480    0.013    0.000    0.034    0.000 version.py:131(_legacy_cmpkey)
     1079    0.013    0.000    0.013    0.000 _weakrefset.py:36(__init__)
     4606    0.013    0.000    0.013    0.000 wire_format.py:80(PackTag)
     1669    0.013    0.000    0.015    0.000 inspect.py:2400(__init__)
     2074    0.013    0.000    0.013    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
